
TITULO|ESPOSA JOVEN –SEGUNDA TEMPORADA
EPISODIO|07
DURACION (MINUTOS)|45
23:59|AZAD|Nos vamos mañana.
24:11|MELEK|Aló? 
24:11|AZAD|Mañana tomaremos el primer avión... Ya encontré a Ali.
24:22|BEHIYE|Señora Nujin, tome un poco de queso.
24:24|NUJIN|No quiero, / no tengo hambre.
24:27|BEHIYE|Debe alimentarse bien Nujin…
24:33|KADIM|¡Dime! / ¿Ali sigue molestando?
2437|KADIM|¿Ha escapado?
24:38|BEHIYE|(REAC)  Ay Dios mío!
24:40|KADIM|Cómo no pueden hacer bien su trabajo…
24:42|NUJIN|Kadim encuentra a Ali, / Tienes que encontrarlo. (REAC)
24:55|AZAD|Si que tenias hambre. / Pronto serás libre.
25:07|AZAD|Aló! Melek, / cómo estás?
25:11|MELEK|Impaciente… / Nos estamos preparando para salir de casa. /  Qué haces? Está todo bien?
25:18|AZAD|En camino, / pronto estaremos en Estambul.
25:21|MELEK|¿Tú crees que salga todo bien?
25:23|AZAD|Claro lo creo.../ Nosotros nos encontraremos con el abogado, / Ya está todo conversado, 
25:28|MELEK|De acuerdo...
25:32|ZEHRA|Estoy lista
25:33|MELEK|(REAC) / De acuerdo, / vamos...
25:44|KADIM|Devran! Ali se escapó...
25:47|DEVRAN|¿Se escapó? / ¿Cuándo fue papá?
25:49|KADIM|Si, / Ayer en la noche, / Pero seguramente va a ir /  donde se encuentra la profesora, / No puedes permitir que Zehra / siga con la esa mujer.
25:59|DEVRAN|De acuerdo, papa.
26:01|DEVRAN|(REAC) Fantástico…
26:27|MELEK|Lléveme al aeropuerto para esperar a Azad.
26:29|VELI|No puedo hacerlo…/ entiéndame por favor.
26:54|AZAD|¿Podemos Ir un poco más rápido? Tengo prisa por llegar
26:56|SOFOR|De acuerdo
27:04|VELI|El juez quiere saber si realmente se quiere divorciar. / Le hará unas preguntas. / por ejemplo, / ¿Por qué quiere divorciarse? / Debes decir / que no se casaron porque lo amabas / sino por que fue un matrimonio forzado.
27:18|ALGUACIL|Señor Judy Balcy y señora Ekrem Balcy27:23|VELI|Después de ellos es nuestro turno…
27:26|MELEK|¿Azad dónde estas? / ya nos  toca entrar
27:34|MELEK|Ya viene...(REAC)
27:45|DEVRAN|Alo! / Papá... / Zehra está con Melek / aquí en la corte. / No hay necesidad que te preocupes  papá… / Azad y Ali no han llegado… / No llegaran seguro.
28:02|ALGUACIL|Ali Kirman, Zehra Kirman28:07|MELEK|¿Qué hacemos ahora?
28:08|VELI|Es nuestro turno para entrar.
28:10|MELEK|Pero ya están viniendo.
28:12|VELI|No hay nada que hacer, / vamos Zehra28:26|VELI|Señor.../ Ha habido un problema con el señor Ali Kirman. / Un retraso en su vuelo. / Está en camino / ¿podemos esperarlo un momento?. 
28:34|JUEZ|La corte no puede esperar a nadie, / si no se encuentra, /  se pospondrá la audiencia para una fecha posterior.
29:02|VELI|Señor juez,  / le solicito, / por favor, / cinco minutos...
29:06|JUEZ|Le digo que en mi audiencia no puedo esperar a nadie. / Fijaremos  otra fecha 
29:11|ZEHRA|(REAC)
29:17|DEVRAN|Nada de qué preocuparse.
29:21|AZAD|Disculpe.../ El chofer se demoro un poco ../ Disculpe ./ Ven  Ali.
29:38|VELI|Señor /  Ali Kirman llego.
29:56|NUJIN|¡Behiye! / ¡Behiye!
29:58|BEHIYE|Dígame Nujin29:59|NUJIN|Aún no hay noticia de Kadim?
30:03|BEHIYE|En realidad... no ha encontrado a Ali.
30:06|NUJIN|¿Qué hay de Devran? / ¿Qué ha hecho? /  ¿Ya encontró a Zehra?
30:11|BEHIYE|Devran está haciendo todo lo posible señora.…
30:13|NUJIN|¡Te ha dicho que no la encuentra aun!
30:16|BEHIYE|No…  / creo que hoy estará en la corte…
30:23|JUEZ|Dígame hija. / ¿Por qué te quieres divorciar de tu esposo?
30:27|ZEHRA|(REACS) / No estaba de acuerdo.
30:42|JUEZ|Mírame a la cara
30:46|JUEZ|Tú no quieres divorciarte… / ¿Tus padres te están obligando?
30:55|ZEHRA|(REAC) No, / yo quiero… / yo quiero  divorciarme...
31:01|JUEZ|Tienes miedo hija, / aquí puedes decir cualquier cosa. / ¿Hay algo que me quieres decir…?
31:08|MELEK|La niña quiere el divorcio.
31:10|JUEZ|No se lo pregunte
31:17|JUEZ|Zehra, / Mira a tu esposo…/ ¿Tú  lo amas?
31:27|ZEHRA|(REAC) no… / no…(REAC) / no… / (REAC)  Me quiero ir de aquí… Por favor, quiero irme. (REAC)
31:40|JUEZ|Que la chica salga. / El tribunal decide posponer la audiencia.
31:52|DEVRAN|Aló papa... / No hubo divorcio, / el juez levanto la sesión.
31:57|ZEHRA|(REAC)
31:58|MELEK|Zehra. ¿Qué pasó?, ¿por qué te pusiste así?
32:02|AZAD|Zehra / puedes contarnos cualquier cosa.
32:19|MELEK|¿Acaso es Ali? / Vamos dime.
32:22|ZEHRA|(REAC)
32:26|ALI|Zehra… / Lo sentó mucho.
32:36|AZAD|Ali! / Vamos tenemos que hablar.
32:45|ZEHRA|(REAC)
33:04|AZAD|¿Ali? / ¿Por qué Zehra se comporta así?, / ¿por qué le pides disculpas? / Ali cuéntame.
33:29|ALI|Es que he hecho algo muy malo hermano.
33:34|AZAD|¿Qué hiciste Ali?
33:39|MELEK|¡Cariño! / Tu me puedes decir cualquier cosa, / vamos confía en mí, / podemos superarlo, te lo prometo
33:49|ZEHRA|(REACS) No, / no.
33:59|MELEK|Zehra /  Zehra, / ¿Ali te hizo algo?
34:09|ZEHRA|(REACS)
34:14|MELEK|Dime hija.
34:15|ZEHRA|(REACS)
34:28|ALI|(REAC) Estaba ciego hermano, / juro que no sabía lo que hacía, no era yo, /(REAC) tome muchas pastillas.
34:40|ALI|Te lo juro que no lo hice a propósito.
35:05|ZEHRA|(REAC)
35:11|MELEK|Zehra...
35:16|ZEHRA|Ya no soy una niña… no soy nadie. (REAC)
35:31|MELEK|Zehra… / Levántate bebe... / Zehra mírame a la cara…
35:43|ZEHRA|No puedo…
35:47|MELEK|Tú no has hecho nada de lo que tengas que avergonzarte, mírame / ¡¡Zehra mírame!  
36:06|MELEK|Nada malo te puede pasar; /  Tú sigues siendo mi niña pequeña…  / No tienes por que llorar / ¿Entiendes?, / no ha pasado nada. / Zehra, / No ha pasado nada.
36:23|ZEHRA|(REACS TODA LA ESCENA)
36:33|MELEK|No llores más.
36:42|AZAD|¿Cómo pudiste Ali?
36:45|ALI|Estaba muy mal hermano… / te lo juro…
36:57|MELEK|Cómo pudiste hacerlo!! / Cómo le hiciste eso a Zehra!!
37:06|ALI|No era yo… / Te juro que no he tenido intención de hacerle daño…
37:16|MELEK|Tú le has hecho la peor cosa que uno puede hacer a alguien. / Tú le has arruinado la vida.
37:26|ALI|Estoy destrozado…
37:28|MELEK|¡Yo voy a arruinar tu vida! / ¡Has oído! / ¡Yo voy a arruinar tu vida!
37:48|NUJIN|Todavía no hay ninguna noticia de Devran, Behiye? / Todo está muy silencioso / Eso no es una buena señal.
38:00|KADIM|Ya no es necesario buscarme  Behiye...
38:05|NUJIN|Qué paso Kadim? / ¿Qué decidió el tribunal?
38:09|KADIM|En el tribunal estaban Ali  y Zehra, / pero no se divorciaron…  / Zehra aun es esposa de Ali, / es la novia de esta casa
38:22|MELEK|Voy a matarte, / te matare.
38:27|AZAD|Melek. / ¡Está bien!
38:40|MELEK|¡Tú me diste tu palabra! / ¡Tú me dijiste que no le pasaría nada mientras esté en esa casa! / Esto sólo debía ser un trámite. / Zehra es una niña pequeña ¿No lo entiendes? / Habla
39:03|AZAD|De acuerdo,… / vamos a otra parte a hablar con calma…
39:10|MELEK|Qué vamos a hablar, / nosotros no tenemos nada que hablar./ no tenemos nada de qué hablar./ Porque el monstruo es él./ Habla con él  / para  que entienda que lo que hizo es terrible!
39:30|AZAD|Melek, / Cálmate
39:34|MELEK|¡No voy a creer nada de lo que me digas! / Déjanos en paz, / todos ustedes, / todos!
39:57|KADIM|Azad llego con Ali a último momento, pero menos mal / no pudieron hacer nada. / el tribunal / decidió posponer el divorcio de Ali y Zehra, / han postergado la audiencia
40:10|NUJIN|Gracias a Dios, / Gracias a Dios sino seríamos ahora el hazme reír de toda la gente./ Ahora mismo. / Yo no podría soportar en mi espalda toda esa vergüenza. / Ya que en cualquier  momento / el fallo del tribunal va salir, / y toda la gente se va enterar de esto, / Que somos Incapaces de mantener una novia, /  eso es lo que dirán. / No son capaces de mantener una novia como corresponde. /  Eso es lo que dirán.
40:40|BEHIYE|No se preocupe Nujin. / Usted tiene un nieto que llevará a la gloria el apellido de los Kirman. / Devran / va a someter a sus ordenes / a Ali y a Azad, / Siempre y cuando usted / dé el permiso correspondiente, / ¿Qué va decidir usted ahora?,/ ¿Qué va a hacer?
41.06|ZUMRUT|No Behiye! / ¡Devran no lo será!
41:20|MELEK|Ahora pagaran por sus actos, / Van pagar todo lo que te han hecho desde que entraste a esa casa y todos ellos serán castigados.., 
41:27|ZEHRA|Ya mamá detente…
41:29|MELEK|Le diremos todo a la policía, de Nujin, de Kadim, de Ali… todos serán castigados.
41:35|ZEHRA|Ya mamá.
41:37|MELEK|Le dirás todo a la policía de lo que pasó, está bien Zehra. / No tienes que proteger a nade, no tienes nada que ocultar… / Todos serán castigados. / Todos ellos por lo que te hicieron.
41:48|ZEHRA|¡Ya basta! ¡Ya basta! / ¿Qué hay de mi? ¿Es por eso que me trajiste aquí, (REAC)? / ¿No entiendes… / que lo único  que quiero es  olvidar y ya?.
41:59|MELEK|De acuerdo... / Lo siento, / Tú vas a hacer lo que quieras.
42:04|ZEHRA|Déjame, / no me preguntes lo que voy a hacer, / no me preguntes.
42:12|MELEK|Zehra! / Está bien,  ¡Detente! /  Zehra…
42:21|KADIM|Zumrut  ¿no puedes entender que Devran es el orgullo de esta familia? / Azad y Ali / se fueron a Estambul por ese tema, / ¿Quién está apoyándonos aquí?, / Sólo Devran42:31|BEHIYE|Kadim / Cálmate, / ¿No ves que ella está delicada?
42:35|KADIM|No Behiye… / Devran tiene que limpiar toda la suciedad  / que deja Azad! /
42:43|ZUMRUT|Tú has vivido una mentira por años,  Kadim. / Nujin, / Nujin; /   Devran, /  Devran. / Kadim (REAC).
43:01|NUJIN|Llévala a su habitación Behiye ... / Dale su medicación, que no se levante de la cama.
43:03|ZUMRUT|(REACS)
43:09|KADIM|Como si no fuera suficiente con que Azad / tire nuestra reputación por los suelos.
43:17|NUJIN|Es su hijo Karim. / Ella nunca va aceptar que hablen mal de su hijo, no lo crees?/  Devran no ha cumplido su promesa./ Devran tiene que volver a la mansión / con Zehra / y Azad. / Quiero ver eso con ms propios ojos.
43:36|MELEK|Zehra, / Zehra! 
43:38|ZEHRA|(REAC)
43:42|MELEK|(REAC) Que haces hija.
43:49|MELEK|De acuerdo, / No haremos nada  que no queras hacer. / Nos iremos muy lejos.
44:03|BEHIYE|Tienes que descansar muy bien... / Vamos me llamas si es que necesitas algo, ¿Está bien?.
44:11|ZUMRUT|Se acabo Behiye, / Ya llego la hora, / Tienes que Impedir que Devran sea el jefe, / o le diré a todos que Devran es hijo de Fatma.
FIN
 PAGE 14
 ESPOSA JOVEN S02-E7
Script en Español para Doblaje de ARCÁNGELES
 PAGE 15
